timestamp_ns,strategy,direction,lots,fill_price,slippage,pnl,fill_probability,latency_ms,close_reason
1713733208859000000,C,Buy,1000.0,154.60190873591094,-0.00009126408907201463,0.0,0.6730629958781249,1.9703340828259306,
1713733353614000000,C,Sell,1000.0,154.60264388323355,-0.00014388323355305285,0.7351473226151484,0.7482143889948211,0.6462112403506928,TRIGGER_EXIT
1713733380242000000,C,Buy,1000.0,154.60791591906354,-0.00008408093645553976,0.0,0.801591398715282,0.530975777545428,
1713733440379000000,C,Sell,1000.0,154.60194786391176,0.00005213608823236548,-5.968055151782892,0.8292023146866119,2.4046501677058654,TRIGGER_EXIT
1713733529567000000,C,Sell,1000.0,154.6054042365628,0.00009576343719581197,0.0,0.8983101748204878,0.7065549531604065,
1713733531874000000,C,Buy,1000.0,154.60714442719322,0.0001444271932247013,-1.7401906304144177,0.881013578755574,1.3808112015695484,TRIGGER_EXIT
1713733532076000000,C,Buy,1000.0,154.61065022325315,-0.00034977674684975223,0.0,0.8777716480258532,0.8520659422173897,
1713733532127000000,C,Sell,1000.0,154.61264510424823,-0.00014510424820495037,1.9948809950847135,0.8978408355667484,2.4262414798128327,TRIGGER_EXIT
1713733546163000000,C,Sell,1000.0,154.6171683593444,-0.00016835934436991047,0.0,0.8908733662710263,2.2325432103281226,
1713733546264000000,C,Buy,1000.0,154.61377921834605,-0.00022078165394123433,3.3891409983368703,0.9145500744788946,0.5036459743974997,TRIGGER_EXIT
1713733556300000000,C,Sell,1000.0,154.6159382440213,0.00006175597870012018,0.0,0.9117349646071538,0.9634797832203574,
1713733558759000000,C,Buy,1000.0,154.61738114250838,-0.00011885749162309779,-1.4428984870846762,0.916010530021283,2.4285916126884604,TRIGGER_EXIT
1713733561020000000,C,Buy,1000.0,154.60141327376232,-0.00008672623766833581,0.0,0.9555159946762288,1.556520089182478,
1713733561121000000,C,Sell,1000.0,154.60128059723164,-0.0002805972316491776,-0.13267653068282925,0.9626460772503004,1.121915561383251,TRIGGER_EXIT
1713733561272000000,C,Buy,1000.0,154.60049291897639,-7.081023631538196e-6,0.0,0.9349294270495325,0.6381601611463912,
1713733562278000000,C,Sell,1000.0,154.59959080296582,-0.00009080296584866605,-0.9021160105646686,0.9574678298184437,1.627476860730493,OBI_REVERSAL
1713733564839000000,C,Sell,1000.0,154.61608380500536,-0.00008380500538609814,0.0,0.9504988375079729,1.1046636354659094,
1713733568204000000,C,Buy,1000.0,154.61414734667144,-0.00035265332855313834,1.936458333915425,0.9549096563416388,0.7491481984439945,TRIGGER_EXIT
1713733598209000000,C,Sell,1000.0,154.6035855107594,-0.00008551075940420244,0.0,0.9746825190178132,1.8851239175798842,
1713733650903000000,C,Buy,1000.0,154.60685243915322,-0.0001475608467853146,-3.266928393827584,0.8947432539333248,1.4635020218687946,TRIGGER_EXIT
1713733658524000000,C,Sell,1000.0,154.60362320443505,-0.00012320443505838742,0.0,0.9005017260980823,1.987827424424444,
1713733678277000000,C,Buy,1000.0,154.60283230245568,-0.00016769754431716132,0.7909019793714833,0.9197278185104486,0.8805226575202285,TRIGGER_EXIT
1713733706870000000,C,Sell,1000.0,154.60604255157057,-0.00004255157056002371,0.0,0.9304468120399363,1.5559628196481576,
1713733707021000000,C,Buy,1000.0,154.60898091796366,-0.000019082036346077885,-2.938366393095748,0.9460639008551738,2.4716785376608055,OBI_REVERSAL
1713733763124000000,C,Buy,1000.0,154.60436484317657,-0.000135156823430544,0.0,0.9361023131535364,1.564632883345434,
1713733765379000000,C,Sell,1000.0,154.59908976471854,-0.00008976471856367142,-5.275078458026883,0.9357144970805837,1.9993029307458214,OBI_REVERSAL
1713733788841000000,C,Sell,1000.0,154.59846798402157,0.00003201597844187984,0.0,0.9014909497865796,1.7456273935029953,
1713733791147000000,C,Buy,1000.0,154.59994473412732,-0.000055265872663224574,-1.4767501057519894,0.9025103227468061,0.700822511456243,OBI_REVERSAL
1713733800724000000,C,Sell,1000.0,154.60482898740423,-0.0003289874042326338,0.0,0.9122391001032373,0.766203445826392,
1713733800825000000,C,Buy,1000.0,154.60372365359777,-0.00027634640220491067,1.1053338064641594,0.9211677514619604,0.9602959405610045,TRIGGER_EXIT
1713733808796000000,C,Sell,1000.0,154.60357364391803,-0.00007364391803895299,0.0,0.8987967796406291,0.8414107286166677,
1713733811756000000,C,Buy,1000.0,154.59757772636704,0.00007772636703340963,5.995917550990271,0.9139728417549744,2.171183763705521,TRIGGER_EXIT
1713733841988000000,C,Sell,1000.0,154.6075912329413,-0.00009123294129909749,0.0,0.9010635496205268,1.2630361490714521,
1713734041002000000,C,Buy,1000.0,154.60137944964674,-0.0001205503532502752,6.211783294560291,0.9014185980039797,0.7113206928766536,MAX_HOLD_TIME
1713734064485000000,C,Buy,1000.0,154.60961923775344,0.00011923775344521462,0.0,0.9125771256748874,1.3065149120943298,
1713734064637000000,C,Sell,1000.0,154.61027832576406,-0.0002783257640441468,0.6590880106216446,0.913231566675243,0.8766899232061154,TRIGGER_EXIT
1713734148631000000,C,Buy,1000.0,154.59065747861587,-0.00034252138412913343,0.0,0.8978744494637756,0.6462812185637656,
1713734148782000000,C,Sell,1000.0,154.5935275144723,-0.000027514472296201207,2.870035856432196,0.9093719731570906,0.8492501894703766,OBI_REVERSAL
1713734217282000000,C,Buy,1000.0,154.59126605592837,-0.0002339440716162967,0.0,0.9049627034663107,1.546259697653764,
1713734220191000000,C,Sell,1000.0,154.59360776304223,-0.00010776304222881064,2.341707113856728,0.9104174699853562,2.203482200206588,TRIGGER_EXIT
1713734243823000000,C,Sell,1000.0,154.59012942830321,-0.00012942830320665798,0.0,0.9121237676358709,2.14077073945412,
1713734311713000000,C,Buy,1000.0,154.61198866926978,-0.000011330730232139108,-21.85924096656322,0.9134429018660783,1.4113638503916672,OBI_REVERSAL
1713734347492000000,C,Buy,1000.0,154.59877415492454,-0.00022584507546223609,0.0,0.9421732031876119,1.2456853328338202,
1713734371694000000,C,Sell,1000.0,154.5990560154255,-0.000056015425515140794,0.2818605009622388,0.9171105290214647,2.2264682415043686,OBI_REVERSAL
1713735035530000000,B,Buy,1000.0,154.5048392421776,-0.00016075782237345008,0.0,0.9432112004196741,0.9079875850258163,
1713735336409000000,B,Sell,1000.0,154.54098443065814,0.00001556934184841435,36.14518848053194,0.9430862067536601,0.6768056541412046,MAX_HOLD_TIME
1713736766401000000,B,Sell,1000.0,154.49754627146675,-0.0000462714667365899,0.0,0.9045738126208166,0.783784561257985,
1713737068075000000,B,Buy,1000.0,154.5561322341252,-0.00036776587481129723,-58.58596265844085,0.9378059027382579,0.933154057271723,MAX_HOLD_TIME
1713737968910000000,B,Sell,1000.0,154.59723229406876,-0.00023229406877847423,0.0,0.9295156987920706,0.5982250740713575,
1713738269591000000,B,Buy,1000.0,154.57439530985388,-0.00010469014610281872,22.836984214876566,0.92983106494736,0.6114484502756532,MAX_HOLD_TIME
1713741340632000000,B,Buy,1000.0,154.543808148004,-0.00019185199599212893,0.0,0.9438946381908879,0.53303263783284,
1713741646951000000,B,Sell,1000.0,154.58120566859492,-0.00020566859490840807,37.397520590928934,0.9112233543147821,2.3002516418061862,MAX_HOLD_TIME
1713743049886000000,B,Sell,1000.0,154.58484883952482,-0.0003488395248225057,0.0,0.927471700966652,2.0604613349151717,
1713743361452000000,B,Buy,1000.0,154.62028473417388,-0.00021526582610065345,-35.435894649054944,0.9393230623872338,0.9134017016748563,MAX_HOLD_TIME
1713744109142000000,B,Buy,1000.0,154.62132833086264,-0.00017166913735029514,0.0,0.9394698430746534,1.5321173747805572,
1713744412153000000,B,Sell,1000.0,154.6816005684762,-0.00010056847619569486,60.272237613560264,0.9157347448429595,1.6903651258798775,MAX_HOLD_TIME
1713747157354000000,B,Buy,1000.0,154.68825977676116,-0.00024022323884956246,0.0,0.9259707697503753,0.6658538863193988,
1713747464061000000,B,Sell,1000.0,154.68819039398196,-0.00019039398197972965,-0.06938277920198743,0.9210087321509871,2.015837424067855,MAX_HOLD_TIME
1713750583698000000,B,Buy,1000.0,154.6003444595712,-0.00015554042880384624,0.0,0.9082355331139241,1.5644378346658674,
1713750890601000000,B,Sell,1000.0,154.60326055481855,-0.0002605548185256551,2.9160952473432644,0.8922376517379467,2.246301863308381,MAX_HOLD_TIME
1713753063124000000,B,Sell,1000.0,154.69169442941796,-0.00019442941793609044,0.0,0.9195221526281185,2.4951518560363404,
1713753375622000000,B,Buy,1000.0,154.69808676641094,0.00008676641096214599,-6.392336992973924,0.9009576014653401,2.334440753379992,MAX_HOLD_TIME
1713755904693000000,B,Buy,1000.0,154.6980209921695,-0.0004790078304929929,0.0,0.9420336289611084,1.9562552607569,
1713756211069000000,B,Sell,1000.0,154.69023577510188,-0.00023577510187504082,-7.785217067606709,0.9063231008183675,2.1940900952151305,MAX_HOLD_TIME
1713757579324000000,B,Buy,1000.0,154.69855993117218,0.000059931172196160155,0.0,0.9230586591756528,0.6153676797925494,
1713757881474000000,B,Sell,1000.0,154.69572540090527,-0.0002254009053037511,-2.8345302669094963,0.9358574837869982,1.1878468065763943,MAX_HOLD_TIME
1713767943662000000,B,Buy,1000.0,154.7038924170624,-0.00010758293761160476,0.0,0.9216943383037574,2.0107066264915314,
1713768244692000000,B,Sell,1000.0,154.69806998995074,-0.00006998995075254447,-5.822427111667139,0.9336256408977197,2.1971310367682797,MAX_HOLD_TIME
1713768643974000000,B,Buy,1000.0,154.696054893843,0.00005489384302712424,0.0,0.9305700145236022,1.725438438868766,
1713768945102000000,B,Sell,1000.0,154.67316498501816,-0.00016498501817274833,-22.88990882485109,0.9297304312251842,0.9796953528606274,MAX_HOLD_TIME
1713770332787000000,B,Sell,1000.0,154.62465470727304,-0.00015470727302400637,0.0,0.942910830947156,0.9960790127694912,
1713770634246000000,B,Buy,1000.0,154.61632157265925,-0.00017842734075245784,8.333134613792481,0.9197761075710222,0.923838406517163,MAX_HOLD_TIME
1713777064628000000,B,Sell,1000.0,154.71916633184583,-0.00016633184583077606,0.0,0.9092165864310278,1.5965295944457831,
1713777366758000000,B,Buy,1000.0,154.71504611625608,0.00004611625607326648,4.120215589750842,0.9343992596934774,0.6533363166860888,MAX_HOLD_TIME
1713791553010000000,B,Sell,1000.0,154.7166109412973,-0.0001109412973048922,0.0,0.9220593313424822,2.4054324700515757,
1713791858121000000,B,Buy,1000.0,154.7313295153799,-0.0001704846200590148,-14.718574082621672,0.9389163148605915,2.017752595972675,MAX_HOLD_TIME
1713794462104000000,B,Sell,1000.0,154.7512193215281,-0.00021932152812372997,0.0,0.9253195618966102,1.3912752793598016,
1713794762308000000,B,Buy,1000.0,154.7648796464521,-0.00012035354788054828,-13.66032492398972,0.9325003056510378,0.9581884092922042,MAX_HOLD_TIME
1713819448899000000,B,Sell,1000.0,154.83924507200595,-0.0002450720059425432,0.0,0.9179385171529723,1.23475479726418,
1713819764535000000,B,Buy,1000.0,154.83834771380506,-0.00015228619495073184,0.8973582008877656,0.9020180736703081,0.8478888808681171,MAX_HOLD_TIME
1713819764535000000,B,Buy,1000.0,154.8384379374201,-0.00006206257989887546,0.0,0.9196735429181738,1.7571223369420474,
1713820067654000000,B,Sell,1000.0,154.82811344383663,-0.00011344383662789881,-10.324493583482308,0.9229381663334362,1.5081136447250472,MAX_HOLD_TIME
1713820072970000000,B,Buy,1000.0,154.83044401072655,-0.00005598927345602117,0.0,0.9204256530330288,0.8837316473244146,
1713820396253000000,B,Sell,1000.0,154.829296998292,0.0002030017079928503,-1.147012434557837,0.9186589344802747,1.8790091274678475,MAX_HOLD_TIME
1713879900380000000,A,Sell,1000.0,154.69207626309705,-0.00007626309705523865,0.0,0.9320521828827457,0.8175141831256909,
1713879930409000000,A,Buy,1000.0,154.66180671922484,-0.0001932807751259427,30.26954387220826,0.9105349563593328,0.6147110471604991,MAX_HOLD_TIME
1713906206164000000,A,Sell,1000.0,154.812479711245,0.00002028875499115204,0.0,0.8983060605571255,1.4037027747503101,
1713906252498000000,A,Buy,1000.0,154.80187239737162,-0.00012760262841026668,10.607313873379098,0.9315571961015873,1.5152990662543884,MAX_HOLD_TIME
1713906302375000000,A,Sell,1000.0,154.7922703244097,-0.00027032440970012523,0.0,0.8999651144762003,2.2864386132270083,
1713906363218000000,A,Buy,1000.0,154.79377044822053,-0.00022955177946627574,-1.5001238108141024,0.9408900543558033,1.1733626750965538,MAX_HOLD_TIME
1713906363218000000,A,Sell,1000.0,154.7940823682807,-0.00008236828072905725,0.0,0.9302027591018258,2.49644195997171,
1713906423243000000,A,Buy,1000.0,154.79890467543962,-0.00009532456035843562,-4.822307158917738,0.9023377639697445,2.2735753623356265,MAX_HOLD_TIME
1713906428863000000,A,Sell,1000.0,154.79941465089192,0.00008534910808980658,0.0,0.9211261890453033,1.5055036071930885,
1713906460350000000,A,Buy,1000.0,154.81161290375044,0.00011290375044875983,-12.198252858524938,0.9092649987106276,0.9714604322332423,MAX_HOLD_TIME
1713906508181000000,A,Sell,1000.0,154.80122134019936,-0.0002213401993642194,0.0,0.9204533439817936,1.8394809788930682,
1713906545068000000,A,Buy,1000.0,154.8166208230299,-0.00037917697011191176,-15.399482830531497,0.9248564686701435,1.945048129373025,MAX_HOLD_TIME
1713960763174000000,A,Sell,1000.0,155.11068432498746,-0.00018432498746700707,0.0,0.9060324787325992,1.4708016731167908,
1713960793332000000,A,Buy,1000.0,155.1379397363459,-0.000060263654055098685,-27.25541135845333,0.9194050221451722,2.2262794904055827,MAX_HOLD_TIME
1713960902450000000,A,Buy,1000.0,154.8489350238858,-0.0000649761142141081,0.0,0.919049001937276,1.3530849559038323,
1713960932452000000,A,Sell,1000.0,154.9849862320158,0.00001376798419190059,136.05120813002713,0.9197859930595543,0.8378989407948598,MAX_HOLD_TIME
1713992406886000000,A,Buy,1000.0,155.28494527936854,0.000945279368554254,0.0,0.9147535003204226,1.5104673716443813,
1713992445005000000,A,Sell,1000.0,155.28214434908833,-0.00014434908833153222,-2.8009302802161073,0.9240241588323739,2.107994765888006,MAX_HOLD_TIME
1713992615874000000,A,Sell,1000.0,155.24675690696262,-0.00025690696262259486,0.0,0.9021658516989641,1.4167262928743205,
1713992702735000000,A,Buy,1000.0,155.24685470221385,-0.00014529778614919434,-0.09779525123576605,0.9293224564629664,1.4432511978471423,MAX_HOLD_TIME
1713992890225000000,A,Sell,1000.0,155.24252137770773,-0.00002137770771240937,0.0,0.9281764217468897,0.5962801000680436,
1713992942064000000,A,Buy,1000.0,155.24188875896238,-0.00011124103763981588,0.6326187453566945,0.9320677425581239,1.0416730937015095,MAX_HOLD_TIME
1713993007749000000,A,Sell,1000.0,155.2426835217049,-0.00018352170489080249,0.0,0.9279575765429231,1.0254107294476171,
1713993039054000000,A,Buy,1000.0,155.24232361429276,-0.00017638570723667194,0.35990741213254296,0.9317190439619573,2.3319063925549757,MAX_HOLD_TIME
1714015517933000000,A,Sell,1000.0,155.4905807462994,-0.00008074629940297122,0.0,0.9058759443786711,1.3461683878150688,
1714015549707000000,A,Buy,1000.0,155.48892202567683,-0.0005779743231679758,1.6587206225722184,0.9369572925304954,2.350078872380708,MAX_HOLD_TIME
1714048212182000000,A,Sell,1000.0,155.4588079218233,-0.0003079218232838979,0.0,0.9419772594595313,0.5863296649926095,
1714048242232000000,A,Buy,1000.0,155.44035282146007,-0.00014717853992511631,18.455100363240717,0.930689153273093,1.4544441064354594,MAX_HOLD_TIME
1714049883894000000,A,Sell,1000.0,155.53993831003166,-0.00043831003165361335,0.0,0.9346451262453864,1.84177114200413,
1714049913980000000,A,Buy,1000.0,155.63183353855803,-0.00016646144196422863,-91.89522852636856,0.9317831636707069,1.562466092832566,MAX_HOLD_TIME
1714050758462000000,A,Sell,1000.0,155.4613728556279,-0.0003728556278939884,0.0,0.9484496893074155,0.7872675281392048,
1714050788661000000,A,Buy,1000.0,155.52934789898714,-0.00015210101284894676,-67.97504335924032,0.9532804291706011,0.9566902835228581,MAX_HOLD_TIME
1714079014090000000,A,Buy,1000.0,155.59985649350637,-0.00014350649362080304,0.0,0.9312454539607188,1.6081680699323648,
1714079044632000000,A,Sell,1000.0,155.61717721939627,-0.00017721939627275525,17.320725889902633,0.9397460425906465,1.2145368294770746,MAX_HOLD_TIME
1714079044734000000,A,Sell,1000.0,155.6175259819868,-0.000025981986807533658,0.0,0.9159134384613687,2.056068874694561,
1714079100162000000,A,Buy,1000.0,155.61699330763366,-6.692366343387303e-6,0.5326743531384182,0.9380777171547606,2.2927052684211358,MAX_HOLD_TIME
1714134605386000000,A,Buy,1000.0,156.65198524029068,-0.000014759709303239027,0.0,0.947277173720845,0.9688024523399463,
1714134635399000000,A,Sell,1000.0,156.80117905964354,-0.00017905964356538492,149.1938193528597,0.9306090384157736,1.897082689948392,MAX_HOLD_TIME
1714338010520000000,A,Buy,1000.0,157.87344330610418,-0.00005669389582395917,0.0,0.9136060800177624,1.973088580667969,
1714338142029000000,A,Sell,1000.0,157.87579392208812,-0.00029392208813685855,2.3506159839428165,0.914098616437655,1.5695427907077926,MAX_HOLD_TIME
